,address,baths,beds,id,lat,lng,photoUrl,photoUrlForHdDpiDisplay,price,satellitePhotoUrl,shortPrice,sqft,streetViewPhotoUrl,url
125,250 S End Ave #14A/F,2ba,3bd,13511054,40.709747,-74.016136,/pictures/thumbs_3/zillowstatic/ISmicw2p384s0v0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISmicw2p384s0v0000000000.jpg,"$2,450,000",,$2.45m,"1,347 sqft",,/p/ny/new-york/250-s-end-ave-14a-f-new-york-ny-10280--1001496227
126,74C Plan in One Manhattan Square,3ba,3bd,4053601757,40.70994,-73.99121,/pictures/thumbs_3/ps.111/d/3/7/1/picture-uh=b3ce7dc77336a7c557ac858adc1b4d-ps=d37181cc1e8998bf34b6346fb28e4f6.jpg,/pictures/thumbs_4/ps.111/d/3/7/1/picture-uh=b3ce7dc77336a7c557ac858adc1b4d-ps=d37181cc1e8998bf34b6346fb28e4f6.jpg,"$4,350,000+",,$4.35m+,"1,487 sqft",,/builder-community/One-Manhattan-Square-6000243097/new-home/Plan-74C/4053601757
127,177 9th Ave #C,4ba,4bd,5047155632,40.745045,-74.00286,/pictures/thumbs_3/zillowstatic/ISmuxkpnm9wuwx1000000000.jpg,/pictures/thumbs_4/zillowstatic/ISmuxkpnm9wuwx1000000000.jpg,"$6,400,000",,$6.4m,"2,365 sqft",,/p/ny/new-york/177-9th-ave-c-new-york-ny-10011--2332167239
128,64E Plan in One Manhattan Square,2ba,3bd,4053601573,40.70994,-73.99121,/pictures/thumbs_3/ps.111/d/3/7/1/picture-uh=b3ce7dc77336a7c557ac858adc1b4d-ps=d37181cc1e8998bf34b6346fb28e4f6.jpg,/pictures/thumbs_4/ps.111/d/3/7/1/picture-uh=b3ce7dc77336a7c557ac858adc1b4d-ps=d37181cc1e8998bf34b6346fb28e4f6.jpg,"$3,557,000+",,$3.56m+,"1,400 sqft",,/builder-community/One-Manhattan-Square-6000243097/new-home/Plan-64E/4053601573
129,1010 Park Ave #11,5ba,4bd,5047068606,40.77949,-73.958275,/pictures/thumbs_3/zillowstatic/IS23bt4j7iwq7h1000000000.jpg,/pictures/thumbs_4/zillowstatic/IS23bt4j7iwq7h1000000000.jpg,"$18,500,000",,$18.5m,,,/p/ny/new-york/1010-park-ave-11-new-york-ny-10028--2360196553
130,36C Plan in One Manhattan Square,3ba,3bd,4053602424,40.70994,-73.99121,/pictures/thumbs_3/ps.111/d/3/7/1/picture-uh=b3ce7dc77336a7c557ac858adc1b4d-ps=d37181cc1e8998bf34b6346fb28e4f6.jpg,/pictures/thumbs_4/ps.111/d/3/7/1/picture-uh=b3ce7dc77336a7c557ac858adc1b4d-ps=d37181cc1e8998bf34b6346fb28e4f6.jpg,"$3,802,000+",,$3.8m+,"1,487 sqft",,/builder-community/One-Manhattan-Square-6000243097/new-home/Plan-36C/4053602424
131,240 Riverside Blvd #6-E,4ba,3bd,3261928665,40.780308,-73.98692,/pictures/thumbs_3/zillowstatic/ISatwdabwtldeu0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISatwdabwtldeu0000000000.jpg,"$4,100,000",,$4.1m,"1,970 sqft",,/p/ny/new-york/240-riverside-blvd-6-e-new-york-ny-10069--2297435078
132,160 Leroy St #NORTH11A,4ba,3bd,3223114540,40.730343,-74.00956,/pictures/thumbs_3/zillowstatic/ISe87j6nxtphj00000000000.jpg,/pictures/thumbs_4/zillowstatic/ISe87j6nxtphj00000000000.jpg,"$7,995,000",,$8m,"2,046 sqft",,/p/ny/new-york/160-leroy-st-north11a-new-york-ny-10014--2008614556
133,125 E 72nd St #14D,3ba,4bd,5047133229,40.770874,-73.9629,/pictures/thumbs_3/zillowstatic/ISinlrjd5508cu0000000000.jpg,/pictures/thumbs_4/zillowstatic/ISinlrjd5508cu0000000000.jpg,"$6,350,000",,$6.35m,,,/p/ny/new-york/125-e-72nd-st-14d-new-york-ny-10021--2191412026
134,870 United Nations Plz #17E,3ba,3bd,5047155635,40.752533,-73.965965,/pictures/thumbs_3/zillowstatic/ISmm38ltvkjgt90000000000.jpg,/pictures/thumbs_4/zillowstatic/ISmm38ltvkjgt90000000000.jpg,"$2,000,000",,$2m,"443,522 sqft",,/p/ny/new-york/870-united-nations-plz-17e-new-york-ny-10017--2206897243
